Ship,Flag,Sunk date,Notes,Coordinates
U-183,Kriegsmarine,23-Apr-45,A Type IXC/40 U-boat that was sunk by USS Besugo in the Java Sea.,4°49′59″S 112°52′01″E
U-537,Kriegsmarine,10-Nov-44,A Type IXC/40 U-boat that was sunk in the Java Sea.,7°13′S 115°17′E
HNLMS Van Ghent,Royal Netherlands Navy,15-Feb-42,An Admiralen-class destroyer that ran aground and was scuttled off Belitung.,3°05′00″S 107°21′00″E
HNLMS Van Nes,Royal Netherlands Navy,17-Feb-42,An Admiralen-class destroyer that was sunk by Japanese aircraft south of Bangka Island.,3°27′S 106°38′E
Admiral Nakhimov,Imperial Russian Navy,28-May-05,An armored cruiser that was sunk off Tsushima Island.,
Admiral Ushakov,Imperial Russian Navy,28-May-05,A Russian battleship that was scuttled after taking damage at the Battle of Tsushima.,34°34′N 129°32′E
Aki,Imperial Japanese Navy,7-Sep-24,"A Satsuma-class battleship that was sunk as a target near Minamibōsō, Chiba.",35°01′30″N 139°51′22″E
Aoba,Imperial Japanese Navy,28-Jul-45,An Aoba-class heavy cruiser that was sunk by US aircraft at Kure.,
Aoba Maru,Japan,Jun-49,"A regular route ferry between Matsuyama and Kitakyushu that capsized in Typhoon Della off Kunisaki Peninsula, Inland Sea, with at least 133 people confirmed dead.",
Ariel,United States,1917,A schooner that was wrecked off Inubōsaki Lighthouse.,
USS Bates,United States Navy,25-May-45,A Buckley-class destroyer escort that was sunk by Japanese aircraft south of Iejima.,26°41′N 127°47′E
Borodino,Imperial Russian Navy,27-May-05,A Russian battleship that was sunk at the Battle of Tsushima.,
Chishima,Imperial Japanese Navy,30 November 1892,An unprotected cruiser that collided with Ravenna off Matsuyama.,33°55′N 132°39′E
Chiyoda,Imperial Japanese Navy,5-Aug-27,A protected cruiser that was sunk as a target in Bungo Channel.,32°54′32″N 132°15′00″E
Dakota,United States,3-Mar-07,An American passenger ship which struck a reef off Yokohama.,
USS Emmons,United States Navy,6-Apr-45,A Gleaves-class destroyer that was sunk by kamikaze aircraft off Okinawa.,26°48′N 128°04′E
Ertuğrul,Ottoman Navy,18 September 1890,"An Ottoman frigate that foundered in bad weather and ran aground on the east coast of Kii Ōshima, while returning to Turkey after a voyage of friendship to Japan.",
USS Greene,United States Navy,9-Oct-45,A Clemson-class destroyer that was sunk by Typhoon Louise.,
I-58,Imperial Japanese Navy,1-Apr-46,A B3 type cruiser submarine that was scuttled off the Gotō Islands.,32°37′N 129°17′E
I-157,Imperial Japanese Navy,1-Apr-46,"A Kaidai-type submarine that was scuttled east of Gotō, Nagasaki.",32°37′N 129°17′E
Imperator Aleksandr III,Imperial Russian Navy,27-May-05,A Russian battleship that was sunk in the Battle of Tsushima.,
Kazu I,Japan,23-Apr-22,"Tour boat sank off of Shiretoko Peninsula, 10 dead and 16 missing.",
Kamikaze,Imperial Japanese Navy,7-Jun-46,A Kamikaze-class destroyer that ran aground off Omaezaki.,34°38′N 138°8′E
Kawachi,Imperial Japanese Navy,12-Jul-18,"A Kawachi-class battleship that capsized after an explosion caused by spontaneous ignition at Tokuyama, Yamaguchi, western Honshū.",
Kiche Maru,Japan,22-Sep-12,"A Japanese passenger ship that sank in a storm with over 1,000 passengers lost.",
Kitagawa Maru No.5,Japan,Apr-57,"A Japanese wooden passenger boat that capsized off Onomichi, Inland Sea, killing at least 113.",
Knyaz Suvorov,Imperial Russian Navy,27-May-05,A Russian battleship that was sunk at the Battle of Tsushima.,
Lisbon Maru,Imperial Japanese Navy,2-Oct-42,A troopship and prisoner-of-war transport that was torpedoed by USS Grouper off Zhoushan.,30°13′48″N 122°45′54″E
Nagara,Imperial Japanese Navy,7-Aug-44,A Nagara-class light cruiser that was torpedoed by USS Croaker off Amakusa.,32°09′N 129°53′E
Nankai Maru,Japan,Jan-58,"A ferry between Wakayama and Tokushima that capsized off southern Awaji Island, killing at least 167.",
Nisshin,Imperial Japanese Navy,18-Jan-42,A Kasuga-class armored cruiser that was sunk as a target southwest of Kure.,34°05′N 132°53′E
Nossa Senhora da Graça,Portugal,6 January 1610,A Portuguese carrack that was sunk by its own captain in the mouth of Nagasaki Bay after being boarded by Japanese samurai and set on fire.,
Numakaze,Imperial Japanese Navy,18-Dec-43,A Minekaze-class destroyer that was sunk northeast of Naha.,26°29′N 128°26′E
Okikaze,Imperial Japanese Navy,10-Jan-43,A Minekaze-class destroyer that was torpedoed by USS Trigger southeast of Yokosuka.,35°02′N 140°12′E
Oslyabya,Imperial Russian Navy,27-May-05,A Russian battleship that was sunk in the Battle of Tsushima.,
Otowa,Imperial Japanese Navy,10-Aug-17,A protected cruiser that ran aground and broke apart off Shima.,34°14′N 136°53′E
Seiki,Imperial Japanese Navy,10 December 1888,A screw sloop that ran aground in Suruga Bay.,35°07′N 138°40′E
Sekirei Maru,Japan,Dec-45,"A passenger boat that capsized in stormy conditions off Akashi, Hyogo, with at least 304 people confirmed dead.",
Shiun Maru,Japan,May-55,"A ferry that capsized and sank during fog off Takamatsu, Shikoku, killing at least 168.",
USS Skylark,United States Navy,28-Apr-45,An Auk-class minesweeper that struck a mine off Hagushi.,26°20′N 127°40′E
Sissoi Veliky,Imperial Russian Navy,28-May-05,A Russian battleship that was sunk in the Battle of Tsushima.,
USS Swallow,United States Navy,22-Apr-45,An Auk-class minesweeper that was sunk by kamikaze aircraft off Okinawa.,26°10′N 127°12′E
USS Tang,United States Navy,24-Oct-44,A Balao-class submarine that was sunk by her own torpedo in the Taiwan Strait.,25°6′N 119°31′E
Tarumizu Maru No.6,Japan,Feb-44,"A regular route ferry between Tarumizu and Kagoshima that capsized off Kagoshima Bay, with at least 464 people confirmed dead.",
Thor,Kriegsmarine,30-Nov-42,"An auxiliary cruiser that was destroyed by fire while moored at Yokohama, and abandoned.",35°23′50″N 139°38′50″E
USS Thornton,United States Navy,2-May-45,A Clemson-class destroyer that was beached in the Ryukyu Islands after taking damage in a collision.,
Tofuku Maru,Imperial Japanese Navy,24-Dec-43,A hell ship that was torpedoed by USS Gurnard off the east coast of Honshu.,34°02′N 136°19′E
Tokiwa Maru,Japan,19-Jun-43,"A regular route ferry between Naruto and Kobe. It capsized in a collision with the cargo ship Richmond Maru off Kobe, with at least 47 confirmed dead.",
Tosa,Imperial Japanese Navy,9-Feb-25,A Tosa-class battleship that was scuttled south of Mizunokojima Lighthouse.,
Tōya Maru,Japan,26-Sep-54,"A train ferry that sank in a typhoon off Hakodate, resulting in around 1,153 deaths.",41°11′36″N 140°09′07″E
Toyo Maru No 10,Japan,Nov-45,"A passenger ferry sank by overloaded three times capacity, off Hakata Island, Seto Inland Sea, at least 397 persons confirmed dead.",
Tsushima Maru,Japan,22-Aug-44,"A passenger ship that was sunk by USS Bowfin off Akusekijima, killing 1,484 civilians, including 767 schoolchildren.",29°32′33″N 129°33′30″E
Vladimir Monomakh,Imperial Russian Navy,28-May-05,An armored cruiser that was damaged by Japanese torpedo boats and scuttled off Tsushima Island.,34°32′N 129°40′E
Danny F II,Panama,17-Dec-09,"A livestock carrier that capsized 11 nautical miles (20 km; 13 mi) from Tripoli, resulting in the death of nearly 30,000 sheep and cattle.",
HMS Victoria,Royal Navy,22 June 1893,A British battleship that collided with HMS Camperdown near Tripoli.,
Atago Maru,Imperial Japanese Navy,28-Nov-44,"A merchant vessel that was sunk off Miri, Sarawak.",04°29′N 114°00′E
Awazisan Maru,Imperial Japanese Navy,8-Dec-41,A World War II Japanese troopship that was bombed and sunk off the coast of Kota Bharu.,
Haguro,Imperial Japanese Navy,16-May-45,A Myōkō-class cruiser that was sunk in the Strait of Malacca by gunfire and torpedoes from Royal Navy destroyers.,
Hatsutaka,Imperial Japanese Navy,16-May-45,A Hatsutaka-class minelayer that was torpedoed by USS Hawkbill off Pulau Tenggol.,04°49′N 103°31′E
Kuma,Imperial Japanese Navy,11-Jan-44,A Kuma-class light cruiser that was torpedoed by HMS Tally-Ho off Penang.,05°26′N 99°52′E
Kuroshio Maru,Japan,Mar-60,A tanker that was sunk as a target off Aur Island.,2°33′N 104°40′E
HMS Prince of Wales,Royal Navy,10-Dec-41,"A King George V-class battleship that was launched in 1939 and sunk by Japanese bombers, along with HMS Repulse.",3°34′N 104°26′E
HMS Repulse,Royal Navy,10-Dec-41,"A Renown-class battlecruiser that was launched in 1916, and sunk by Japanese bombers, along with HMS Prince of Wales.",3°34′N 104°26′E
HMS Stratagem,Royal Navy,22-Nov-44,An S-class submarine that was sunk by a Japanese submarine chaser near Batu Pahat.,1°36′N 102°53′E
Abukuma,Imperial Japanese Navy,26-Oct-44,A Nagara-class light cruiser that was bombed by US aircraft off Negros Island.,09°20′N 122°32′E
Akebono,Imperial Japanese Navy,14-Nov-44,"A Fubuki-class destroyer that was bombed by US aircraft at Cavite, in an attack which also sunk Akishimo.",14°35′N 120°55′E
Akigumo,Imperial Japanese Navy,11-Apr-44,A Kagerō-class destroyer that was torpedoed by USS Redfin southeast of Zamboanga Peninsula.,06°43′N 122°23′E
Akishimo,Imperial Japanese Navy,14-Nov-44,"A Yūgumo-class destroyer that was bombed by US aircraft at Cavite, in an attack which also sunk Akebono.",14°35′N 120°55′E
Akitsushima,Imperial Japanese Navy,24-Sep-44,A Japanese seaplane tender that was sunk at Coron Island.[13],
Asakaze (1922),Imperial Japanese Navy,23-Aug-44,A Kamikaze-class destroyer that was torpedoed by USS Haddo southwest of Bolinao.,16°6′N 119°44′E
Asia South Korea,Philippines,22-Dec-99,A passenger ferry that sank off Bantayan Island.,
Awa Maru,Imperial Japanese Navy,1-Apr-45,"A hospital ship that was sunk off the coast of Camiguin by USS Queenfish, who mistook her for a destroyer.",
USS Barbel,United States Navy,4-Feb-45,A Balao-class submarine that was sunk by Japanese aircraft off Palawan.,7°49′N 116°47′E
Castilla,Spanish Navy,1 May 1898,An Aragon-class cruiser sunk in the Battle of Manila Bay.,
Cebu City,Philippines,2-Dec-94,"A ferry that capsized in a collision with the freighter Kota Suria off Manila Bay, with 140 people confirmed dead.[14][15]",
China Maru,Japan,21-Sep-44,A cargo ship that was sunk by US aircraft off Manila.,14°35′N 120°55′E
USS Cooper,United States Navy,3-Dec-44,An Allen M. Sumner-class destroyer that was sunk in the Battle of Ormoc Bay.,10°54′N 124°36′E
USS Darter,United States Navy,24-Oct-44,A Gato-class submarine that ran aground and was scuttled off Palawan.,9°24′22″N 116°59′02″E
Doña Marilyn,Philippines,24-Oct-88,"A ferry that was caught in Typhoon Ruby off Almagro, Samar. Estimates of the number of dead vary from 50 to 150.[14][16][17]",
Dumaguete J,Philippines,Oct-68,"A motor vessel carrying 500 people that capsized off Zamboanga, Mindanao. At least 300 were confirmed dead.",
USS Flier,United States Navy,13-Aug-44,A Gato-class submarine that struck a mine in the Balabac Strait.,7°58′43.21″N 117°15′23.79″E
Fujinami,Imperial Japanese Navy,27-Oct-44,A Yūgumo-class destroyer that was sunk by US aircraft 80 miles (130 km) north of Iloilo.,12°0′N 122°30′E
Hamanami,Imperial Japanese Navy,11-Nov-44,A Yūgumo-class destroyer that was sunk by US aircraft west of Leyte.,10°50′N 124°35′E
USS Harder,United States Navy,24-Aug-44,A Gato-class submarine that was sunk off Dasol.,
Hatsuharu,Imperial Japanese Navy,13-Nov-44,A Hatsuharu-class destroyer that was sunk in an air raid at Manila Bay.,14°35′N 120°50′E
USS Hoel,United States Navy,25-Oct-44,A Fletcher-class destroyer that was sunk in the Battle off Samar.,11°46′N 126°33′E
USS Hovey,United States Navy,7-Jan-45,A Clemson-class destroyer that was sunk in the Invasion of Luzon.,16°20′N 120°10′E
USS Indianapolis,United States Navy,30-Jul-45,A Portland-class cruiser that was torpedoed by Japanese submarine I-58 from the south of Philippine Sea.,12°2′N 134°48′E
Irako,Imperial Japanese Navy,24-Sep-44,A food supply ship that was scuttled at Coron Island after taking damage in an attack by aircraft of Task Force 38.[13],08°04′N 152°40′E
Isuzu Maru,Imperial Japanese Navy,Unknown,A transport ship that was sunk by USS Trout off the north coast of Marinduque Island.[18],
USS Johnston,United States Navy,25-Oct-44,A Fletcher-class destroyer,11°45′N 126°08′E
Kazagumo,Imperial Japanese Navy,8-Jun-44,A Yūgumo-class destroyer that was torpedoed by USS Hake at the mouth of Davao Gulf.,06°03′N 125°57′E
Kinu,Imperial Japanese Navy,26-Oct-44,A Nagara-class light cruiser that was bombed by US aircraft southwest of Masbate.,11°45′N 123°11′E
Kiyoshimo,Imperial Japanese Navy,26-Dec-44,A Yūgumo-class destroyer that was sunk by US forces off San Jose.,12°20′N 121°0′E
Kogyo Maru,Imperial Japanese Army,Unknown,An army auxiliary supply ship that was sunk in Coron Island.[13],
Kumano,Imperial Japanese Navy,25-Nov-44,A Mogami-class cruiser that was sunk by US aircraft off Santa Cruz.,15°44′58″N 119°47′57″E
Kyokuzan Maru,Imperial Japanese Army,Unknown,An army auxiliary supply ship that was sunk at Coron Island.[13],
USS Lanakai,United States Navy,1947,"A schooner-rigged diesel yacht that was confiscated from its German owners and renamed USS Hermes. After World War I, it was sold to MGM, who renamed it MV Lanakai and used it in the film The Hurricane, starring Jon Hall and Dorothy Lamour. During World War II, the ship operated as a covert intelligence-gathering vessel around the Philippines and Vietnam. It was sunk by a typhoon in 1947.[19]",14°46′N 120°15′E
USS Mahan,United States Navy,7-Dec-44,A Mahan-class destroyer that was sunk between Leyte and Ponson Island.,10°50′N 124°30′E
USS Majaba,United States Navy,Aug-46,"A lumber transport, known locally as El Capitan, that was commissioned for supply duties during World War II. A Liberty ship, the vessel received a Battle Star for her duties and survived being torpedoed by a Japanese submarine at Guadalcanal. She was sunk by typhoon in Subic Bay, whilst undergoing re-fit/repair after the war.[19]",14°46′N 120°15′E
Michishio,Imperial Japanese Navy,22-Oct-44,An Asashio-class destroyer that was sunk in the Battle of Surigao Strait.,10°25′N 125°23′E
Ming Dynasty,Unknown,Unknown,A Chinese merchant vessel that was sunk off the coast of Marinduque.[20],
Mogami,Imperial Japanese Navy,25-Oct-44,A Mogami-class heavy cruiser that suffered heavy damage in the Battle of Surigao Strait and was scuttled.,09°40′N 124°50′E
Musashi,Imperial Japanese Navy,24-Oct-44,A Yamato-class battleship that was sunk in the Sibuyan Sea during the Battle of Leyte Gulf.,13°07′N 122°32′E
,Nachi,Imperial Japanese Navy,5-Nov-44,
